Pinger Start in Client Mode
size=20 bytes from=10.0.0.2 seq=0 rtt=19
size=20 bytes from=10.0.0.2 seq=1 rtt=13
size=20 bytes from=10.0.0.2 seq=2 rtt=12
size=20 bytes from=10.0.0.2 seq=3 rtt=12
size=20 bytes from=10.0.0.2 seq=4 rtt=11
size=20 bytes from=10.0.0.2 seq=5 rtt=11
size=20 bytes from=10.0.0.2 seq=6 rtt=11
size=20 bytes from=10.0.0.2 seq=7 rtt=11
size=20 bytes from=10.0.0.2 seq=8 rtt=11
size=20 bytes from=10.0.0.2 seq=9 rtt=11
size=20 bytes from=10.0.0.2 seq=10 rtt=11
size=20 bytes from=10.0.0.2 seq=11 rtt=11
size=20 bytes from=10.0.0.2 seq=12 rtt=11
size=20 bytes from=10.0.0.2 seq=13 rtt=11
size=20 bytes from=10.0.0.2 seq=14 rtt=11
size=20 bytes from=10.0.0.2 seq=15 rtt=11
size=20 bytes from=10.0.0.2 seq=16 rtt=11
size=20 bytes from=10.0.0.2 seq=17 rtt=11
size=20 bytes from=10.0.0.2 seq=18 rtt=11
size=20 bytes from=10.0.0.2 seq=19 rtt=11
sent=20 received=20 lost=0.00% rtt min/avg/max=11/11.60/19
